"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manu","Manu PN","Digikey PN"
"B1","1","6.8MM_COIN_CELL","","","","ZED-F9P GNSS FeatherWing:BATTCON-6.8MM","","Seiko Instruments","Seiko Instruments","728-1057-ND"
"C1","1","10uF","","","","ZED-F9P GNSS FeatherWing:0805-NO","","Samsung Electro-Mechanics","CL21A106MQFNNNE","1276-1298-1-ND"
"C2","1","100nF","","","","ZED-F9P GNSS FeatherWing:0805-NO","","Samsung Electro-Mechanics","CL21B104KACNFNC","1276-2442-1-ND"
"C3","1","47pF","","","","Capacitor_SMD:C_0402_1005Metric","","","GJM1555C1H470JB01D","490-14446-1-ND"
"C4","1","1.0uF","","","","ZED-F9P GNSS FeatherWing:0603","","Samsung Electro-Mechanics","CL10B105KP8NFNC","1276-1945-1-ND"
"C5,C6","2","C_Small_US","","","","Capacitor_SMD:C_0402_1005Metric","","Samsung Electro-Mechanics","CL05A104KA5NNNC","1276-1043-1-ND"
"CON1","1","MICROBUILDER_USBFCI_10103594_CORRECTED","","","","ZED-F9P GNSS FeatherWing:MICROBUILDER_FCI_10103594_CORRECTED","","Amphenol ICC (FCI)","10103594-0001LF","609-4050-1-ND"
"D1,D2","2","0.5A/40V/420mV","","","","ZED-F9P GNSS FeatherWing:SOD-323","","Taiwan Semiconductor Corporation","BAT201M3 RRG","1801-BAT201M3RRGCT-ND"
"J1","1","EdgeMount_SMA","","","","Coupler_v1:SMA_Molex_0732512120","","Molex","0732512120","WM5536-ND"
"J2","1","Conn_01x16_Pin","","","Excluded from board","","","","","2223-SSK01-MPH-254-A16-ND"
"J3","1","Conn_01x12_Pin","","","Excluded from board","","","","","2223-SSK01-MPH-254-A12-ND"
"L1","1","100nH","","","","Inductor_SMD:L_0603_1608Metric","","","LQW18ANR10G8ZD","490-15766-1-ND"
"PPS0","1","RED","","","","ZED-F9P GNSS FeatherWing:CHIPLED_0805_NOOUTLINE","","Würth Elektronik","150080RS75000","732-4984-1-ND"
"Q1","1","DMG2305","","","","ZED-F9P GNSS FeatherWing:SOT23-R","","onsemi","FDN340P","FDN340PCT-ND"
"R1,R3,R4","3","1K","","","","ZED-F9P GNSS FeatherWing:0603-NO","","YAGEO","RT0603FRE131KL","13-RT0603FRE131KLCT-ND"
"R2","1","10 ohm","","","","Resistor_SMD:R_0402_1005Metric","","Bourns Inc.","CR0402-JW-100GLF","CR0402-JW-100GLFCT-ND"
"R5","1","1k","","","","ZED-F9P GNSS FeatherWing:0603","","YAGEO","RT0603FRE131KL","13-RT0603FRE131KLCT-ND"
"R6,R7","2","10K","","","","ZED-F9P GNSS FeatherWing:0603-NO","","Stackpole Electronics Inc","RNCP0603FTD10K0","RNCP0603FTD10K0CT-ND"
"U1","1","ZED-F9P-15B","","","","ZED-F9P GNSS FeatherWing:ZED-F9P_ZED-F9P","","u-blox","ZED-F9P-15B","672-ZED-F9P-15BCT-ND"
"U2","1","SPX3819-3.3","","","","ZED-F9P GNSS FeatherWing:SOT23-5","","MaxLinear, Inc.","SPX3819M5-L-3-3/TR","1016-1873-1-ND"
"Z1,Z2,Z3,Z4","4","CG0603MLC-05E","","","","ZED-F9P GNSS FeatherWing:CT_CN0603","","Bourns Inc.","CG0603MLC-05E","CG0603MLC-05ECT-ND"
